dataset_id,group,ari_off,ari_on,ari_delta
AGGREGATION,classf,0.711808903139204,0.5550695878342489,-0.1567393153049551
ECOLI,classf,0.030160852534396,0.0292872221574382,-0.000873630376957802
IRIS,classf,0.5097544098928156,0.4973292113962737,-0.012425198496541945
JAIN,classf,0.3406050170893068,0.3134897011548994,-0.027115315934407414
PIMA-INDIANS,classf,0.0133059243313746,-0.0048712537311046,-0.0181771780624792
WDBC,classf,0.0025272944803964,0.0020117519918919,-0.0005155424885044998
WINE,classf,0.0054172085726464,0.0013987320399025,-0.004018476532743899
YEAST,classf,-0.0007092111220962,-0.0010394919424127,-0.0003302808203165
