config,median,mean,std,n_datasets
noQF+MDS,0.538309032181917,0.5254798199212701,0.16446503490803366,20
QF+MDS,0.5340549639237151,0.5399519825127104,0.15377618911669833,20
QF+FEATURE,0.520854709804772,0.5393529626482352,0.16417548889436254,20
noQF+FEATURE,0.5199831839660107,0.535784717621313,0.1668260992413915,20
