dataset_id,group,quadrat_filter,msi_space,seed,k,msi,ari,internal_cost
CONCRETEDATA,clust,True,feature,3,3,0.3424157716942239,,-0.267747823925229
CONCRETEDATA,clust,True,feature,4,2,0.450968828259622,,-0.39563649545920554
CONCRETEDATA,clust,True,mds,0,3,0.3552795557825049,,-0.36596875489898845
CONCRETEDATA,clust,True,mds,1,2,0.4612332824072765,,-0.4581740900202914
CONCRETEDATA,clust,True,mds,2,2,0.38318836326629235,,-0.39221489739768345
CONCRETEDATA,clust,True,mds,3,2,0.49022789588028143,,-0.4899520387969637
CONCRETEDATA,clust,True,mds,4,2,0.48402334796424834,,-0.4836320767104605
CONCRETEDATA,clust,False,feature,0,2,0.4557167709858423,,-0.39585712781753163
CONCRETEDATA,clust,False,feature,1,2,0.47010860191430215,,-0.43963295097694904
CONCRETEDATA,clust,False,feature,2,2,0.44424623768052807,,-0.3587527449635925
CONCRETEDATA,clust,False,feature,3,2,0.46212509953948977,,-0.3949624161329361
CONCRETEDATA,clust,False,feature,4,2,0.45763089290353176,,-0.4126566710695736
CONCRETEDATA,clust,False,mds,0,2,0.49207294593700734,,-0.48660624631730437
CONCRETEDATA,clust,False,mds,1,2,0.3863316283624255,,-0.3993426123944407
CONCRETEDATA,clust,False,mds,2,3,0.38342325786893044,,-0.3932635979962018
CONCRETEDATA,clust,False,mds,3,2,0.4872023402381441,,-0.4799027797354368
CONCRETEDATA,clust,False,mds,4,3,0.3687855911853516,,-0.38115143978516736
FACE,clust,True,feature,0,4,0.5472591255489027,,-0.5477250328467301
FACE,clust,True,feature,1,5,0.5542281969479868,,-0.5541658391864431
FACE,clust,True,feature,2,6,0.5586283343105484,,-0.5581938403075468
FACE,clust,True,feature,3,4,0.5577283492360908,,-0.5591759473664273
FACE,clust,True,feature,4,5,0.55664562358501,,-0.5573296439125688
FACE,clust,True,mds,0,5,0.5606794204367689,,-0.5634504575922248
FACE,clust,True,mds,1,6,0.5458607526446563,,-0.5457984947091183
FACE,clust,True,mds,2,6,0.5516275828370223,,-0.552457302809987
FACE,clust,True,mds,3,4,0.5723933484039924,,-0.5742210784724838
FACE,clust,True,mds,4,5,0.5490931499545225,,-0.5505977631771193
FACE,clust,False,feature,0,5,0.5566949328586043,,-0.5576775043615485
FACE,clust,False,feature,1,4,0.5609939740905251,,-0.5612177059375789
FACE,clust,False,feature,2,4,0.5520805774464546,,-0.5522797205214872
FACE,clust,False,feature,3,4,0.5600998767509591,,-0.5602245633173883
FACE,clust,False,feature,4,5,0.5408179713897878,,-0.541347956796494
FACE,clust,False,mds,0,4,0.5485900891648825,,-0.5487903235192149
FACE,clust,False,mds,1,4,0.5541478496163184,,-0.5542134177138742
FACE,clust,False,mds,2,4,0.556025725670951,,-0.5567427537904032
FACE,clust,False,mds,3,5,0.5611707446909713,,-0.5651160661039267
FACE,clust,False,mds,4,4,0.5526433869288931,,-0.552846305020155
OUTLIERS,clust,True,feature,0,2,0.5605312827695187,,-0.5544782598917237
OUTLIERS,clust,True,feature,1,2,0.5484727229439955,,-0.5439769911520308
OUTLIERS,clust,True,feature,2,3,0.33235745322485793,,-0.5552647436933272
OUTLIERS,clust,True,feature,3,2,0.5758109265801993,,-0.5694294547073863
OUTLIERS,clust,True,feature,4,2,0.5632475826275197,,-0.557135334880691
OUTLIERS,clust,True,mds,0,2,0.548653785497912,,-0.5445512468026396
OUTLIERS,clust,True,mds,1,2,0.5782685427046812,,-0.5678933757146563
OUTLIERS,clust,True,mds,2,2,0.5592909091625489,,-0.5565690121004794
OUTLIERS,clust,True,mds,3,2,0.552884599819179,,-0.55080425653146
OUTLIERS,clust,True,mds,4,2,0.5560297700458188,,-0.5556893977001658
OUTLIERS,clust,False,feature,0,2,0.563473752120234,,-0.5537234617892884
OUTLIERS,clust,False,feature,1,2,0.5632475826275197,,-0.557135334880691
OUTLIERS,clust,False,feature,2,2,0.5689092594197075,,-0.5633523506131896
OUTLIERS,clust,False,feature,3,2,0.55963266717147,,-0.549916579266555
OUTLIERS,clust,False,feature,4,2,0.5632475826275197,,-0.557135334880691
OUTLIERS,clust,False,mds,0,2,0.5660916019430996,,-0.5576308570795738
OUTLIERS,clust,False,mds,1,2,0.5643797737917041,,-0.5561743935350002
OUTLIERS,clust,False,mds,2,2,0.556278156098905,,-0.5438428969820028
OUTLIERS,clust,False,mds,3,2,0.55855881691754,,-0.5548116067219769
OUTLIERS,clust,False,mds,4,1,,,-0.553294056440822
RUSPINI,clust,True,feature,0,4,0.7911720027852234,,-0.791890068294774
RUSPINI,clust,True,feature,1,4,0.7936438492899516,,-0.7939549652619311
RUSPINI,clust,True,feature,2,3,0.631209486984137,,-0.7911148764344705
RUSPINI,clust,True,feature,3,3,0.5949786727391052,,-0.7977864092445052
RUSPINI,clust,True,feature,4,4,0.7937885105675124,,-0.7942272474615456
RUSPINI,clust,True,mds,0,4,0.7935189130575678,,-0.7912273167074324
RUSPINI,clust,True,mds,1,4,0.7939679288386802,,-0.7906550941423343
