dataset_id,group,quadrat_filter,msi_space,seed,k,msi,ari,internal_cost
PIMA-INDIANS,classf,False,mds,1,2,0.49522364178934025,-0.007129412263490645,-0.4783214352070912
PIMA-INDIANS,classf,False,mds,2,2,0.5156725001448161,0.006683813492262931,-0.5066906582551811
PIMA-INDIANS,classf,False,mds,3,3,0.38968015777004994,0.15712120274615066,-0.391361606357665
PIMA-INDIANS,classf,False,mds,4,2,0.364743013978128,0.08294651413863258,-0.38042181240248324
WDBC,classf,True,feature,0,2,0.640583174519608,0.01626929670038852,-0.5925795876007776
WDBC,classf,True,feature,1,2,0.6428792148052344,0.016331265033407164,-0.5937077148074498
WDBC,classf,True,feature,2,2,0.6417183601902745,0.020982922794654885,-0.5890003678468918
WDBC,classf,True,feature,3,2,0.640583174519608,0.01626929670038852,-0.5925795876007776
WDBC,classf,True,feature,4,2,0.622994583939019,0.014825513101558942,-0.5802145319022431
WDBC,classf,True,mds,0,3,0.5199386586950259,0.014783443918338565,-0.611982601317483
WDBC,classf,True,mds,1,2,0.5932557123088025,0.016284986484221706,-0.6142924609542959
WDBC,classf,True,mds,2,2,0.6220947478214759,0.01867285068755831,-0.5932352382102353
WDBC,classf,True,mds,3,2,0.5409024395087395,0.0016227115106233084,-0.5988216870388635
WDBC,classf,True,mds,4,2,0.5700555394804475,0.0019528776326449462,-0.6263520168279483
WDBC,classf,False,feature,0,2,0.6329530378729536,0.01571151938625837,-0.5874009159154995
WDBC,classf,False,feature,1,2,0.6377593222581299,0.015748003197853643,-0.5904509755698035
WDBC,classf,False,feature,2,2,0.6217455005026982,0.014974581072335454,-0.5793018049366556
WDBC,classf,False,feature,3,2,0.6505771861707071,0.017532448751916646,-0.6016958133734905
WDBC,classf,False,feature,4,2,0.6372428897807519,0.015691754887477254,-0.5908153118453732
WDBC,classf,False,mds,0,2,0.5786883991261365,0.01826427448364689,-0.5965906114303099
WDBC,classf,False,mds,1,2,0.5983572566540232,0.017124474408491384,-0.6162006651747116
WDBC,classf,False,mds,2,2,0.5732774721116703,0.002413606444998738,-0.6177184839391813
WDBC,classf,False,mds,3,2,0.563840333166497,0.0006771164445321438,-0.6142970731652053
WDBC,classf,False,mds,4,2,0.5753566842182346,0.0022593287820995792,-0.6327835955997689
WINE,classf,True,feature,0,3,0.6091869632065056,0.00665647309088969,-0.34444678729069467
WINE,classf,True,feature,1,2,0.6081561323811137,0.0014562642834880075,-0.3625991965902172
WINE,classf,True,feature,2,2,0.6136185548530289,0.0010438440946171999,-0.3631247666468985
WINE,classf,True,feature,3,1,,0.0,-0.36063212006822853
WINE,classf,True,feature,4,2,0.6091375214210065,0.0003198634239960027,-0.36391289533390236
WINE,classf,True,mds,0,3,0.6218512428495934,0.008583983025859172,-0.6348983761547611
WINE,classf,True,mds,1,2,0.4415720930817995,0.006672723014787589,-0.6162812763490042
WINE,classf,True,mds,2,3,0.6471358663582301,0.00925072844608818,-0.6504399085785467
WINE,classf,True,mds,3,3,0.6132529791841986,0.006603416366369808,-0.6322988121090978
WINE,classf,True,mds,4,4,0.5383366307238698,0.005225655901801672,-0.6259921495882568
WINE,classf,False,feature,0,2,0.5950350105090163,0.0004662440468901677,-0.3530281690090635
WINE,classf,False,feature,1,2,0.6141861518545606,0.0008054428816337843,-0.3653534016637439
WINE,classf,False,feature,2,2,0.6091375214210065,0.0003198634239960027,-0.36391289533390236
WINE,classf,False,feature,3,2,0.602421336053198,0.0008186246470084076,-0.35555994642783295
WINE,classf,False,feature,4,3,0.3885298129338582,0.003392287666148213,-0.35780905332625
WINE,classf,False,mds,0,2,0.4697227863801185,0.006854011456025044,-0.6206918713548466
WINE,classf,False,mds,1,3,0.6254785274760933,0.008113228959246373,-0.6337037578959949
WINE,classf,False,mds,2,3,0.5901181267922216,0.007452619261269412,-0.6183661182625863
WINE,classf,False,mds,3,3,0.5992136240029817,0.007357250593784895,-0.6134526425987735
WINE,classf,False,mds,4,3,0.6084610507132361,0.006096930573726924,-0.6271709409862096
YEAST,classf,True,feature,0,3,0.4495932879583556,0.01648983856909117,-0.44579837434768377
YEAST,classf,True,feature,1,2,0.4939229757697596,0.014791882728251094,-0.4542160077569726
YEAST,classf,True,feature,2,2,0.5053287378382734,0.010708319967820856,-0.4988392682497104
YEAST,classf,True,feature,3,2,0.4989119282852933,0.015906224974350975,-0.431287970416129
YEAST,classf,True,feature,4,2,0.5228791799631584,0.00506860433549603,-0.5216969203744218
YEAST,classf,True,mds,0,2,0.6543971165678234,-0.0010971910543473627,-0.6647801214293562
YEAST,classf,True,mds,1,2,0.620498545615602,0.0036865617211779547,-0.6259331199164995
YEAST,classf,True,mds,2,2,0.5260431603525386,0.004355152227059177,-0.5021806990314376
YEAST,classf,True,mds,3,2,0.6543971165678234,-0.0010971910543473627,-0.6647801214293562
YEAST,classf,True,mds,4,2,0.659083727267324,-0.0010985573242416353,-0.6685595655216895
YEAST,classf,False,feature,0,2,0.5056368435226921,0.00856164337802711,-0.5282540159709816
YEAST,classf,False,feature,1,2,0.6196713017754346,0.0058295403196008035,-0.5661861305100957
YEAST,classf,False,feature,2,2,0.4845628642765202,0.028352769643377906,-0.39567194411620527
YEAST,classf,False,feature,3,2,0.49346908362028863,0.005875651748200541,-0.5538646155970286
YEAST,classf,False,feature,4,2,0.5104700452386379,0.007905983559212418,-0.5128461122509413
YEAST,classf,False,mds,0,3,0.4815222947447799,0.011952104406514567,-0.5763530246741649
YEAST,classf,False,mds,1,2,0.6343282401768385,-0.0013073427562876356,-0.6429459237979555
YEAST,classf,False,mds,2,2,0.5480251263937697,0.0057938493650323665,-0.5506303779859387
YEAST,classf,False,mds,3,2,0.6464686905687643,-0.0010972396915261918,-0.655886313974407
YEAST,classf,False,mds,4,2,0.6662150161031563,-0.001003857867965247,-0.6814706552759875
