config,median,mean,std,n_datasets
QF+MDS,0.22905136698337075,0.27377537016137443,0.27797424682561256,8
noQF+MDS,0.05655368333651425,0.20124486962270807,0.26257267549281504,8
noQF+FEATURE,0.0228730859176751,0.23554206114737636,0.309596742782932,8
QF+FEATURE,0.02139726219402285,0.20911566329289172,0.2880369279393458,8
